Feature,Instance,LocX,LocY,Checkin
A,1,4969.59,4124.14,6335
A,2,724.45,2596.97,4402
A,3,1740.56,4691.87,557
A,4,1772.9,562.0,1404
A,5,1960.88,3239.44,874
A,6,102.36,1720.85,6163
A,7,4011.69,4386.39,56
A,8,3405.37,1950.32,2022
A,9,3361.53,1967.85,4909
A,10,1078.95,750.7,56
A,11,1832.03,1400.38,478
A,12,1233.23,4376.65,1806
A,13,2598.11,4369.16,1347
A,14,1476.57,1716.93,688
A,15,3858.67,3846.65,3593
A,16,455.41,510.49,1282
A,17,3827.79,1944.45,646
A,18,4755.14,1942.52,1700
A,19,4250.11,1512.23,2630
A,20,4495.85,677.01,3537
A,21,4432.13,2063.68,2
A,22,403.55,1316.23,1174
A,23,2839.16,3155.32,805
A,24,1566.52,98.16,2966
A,25,1453.95,286.51,1247
A,26,4582.96,735.12,879
A,27,318.96,877.08,388
A,28,2667.75,3074.06,2069
A,29,2169.16,4553.4,1959
A,30,206.94,3201.59,1004
A,31,3998.67,1010.19,2329
A,32,1874.74,2477.46,4368
A,33,2269.32,4217.16,2115
A,34,3887.33,3210.82,964
A,35,4224.6,2238.65,521
A,36,1716.01,3634.31,4630
A,37,2429.73,516.19,38
A,38,3195.38,3719.71,2835
A,39,4025.81,4845.44,1626
A,40,2765.43,2576.08,1134
A,41,261.2,251.26,2693
A,42,1663.44,114.89,1138
A,43,4046.73,3998.83,2412
A,44,3847.45,2421.99,5652
A,45,2617.5,4414.63,4907
A,46,3960.02,526.04,689
A,47,2613.87,4403.1,1498
A,48,4438.58,1998.73,1778
A,49,815.81,2614.43,488
A,50,569.6,1159.3,2094
A,51,44.01,1779.46,3645
A,52,2612.15,3746.59,991
A,53,842.92,1348.8,1055
A,54,346.32,935.63,4824
A,55,2141.55,3842.39,2050
A,56,1700.27,2789.32,636
A,57,4131.5,525.23,4591
A,58,3382.31,1341.68,854
A,59,4872.68,2386.31,742
A,60,3273.38,2839.36,281
A,61,4208.63,3201.92,9469
A,62,4776.15,1770.97,524
A,63,2459.17,2806.49,899
A,64,2074.5,3527.54,475
A,65,4486.54,3745.78,2496
A,66,3132.54,4992.07,753
A,67,4767.29,4694.43,4780
A,68,4961.58,2197.99,2929
A,69,2776.49,3302.1,2903
A,70,3970.75,2677.36,1628
A,71,1398.31,2049.58,7466
A,72,1966.34,3085.67,2731
A,73,2585.54,3698.54,789
A,74,1484.22,2693.28,2366
A,75,1492.02,790.3,1288
A,76,716.22,4013.22,3090
A,77,4694.49,2371.67,368
A,78,3264.37,3971.93,6790
A,79,156.78,4578.87,2580
A,80,278.64,3035.77,5900
A,81,2612.13,271.79,371
A,82,1298.09,101.18,5478
A,83,3506.34,77.52,931
A,84,4014.4,1703.87,4154
A,85,3323.93,1343.84,4557
A,86,2944.45,198.54,681
A,87,4085.79,2460.58,1367
A,88,4978.57,4763.96,1246
A,89,3136.23,1592.14,1740
A,90,3453.21,983.25,3933
A,91,900.17,3337.11,743
A,92,3681.81,4368.84,438
A,93,3099.67,242.73,4714
A,94,4481.39,4954.75,5079
A,95,3201.84,4845.54,9376
A,96,4500.4,3136.54,1117
A,97,3997.82,2049.46,1015
A,98,30.49,493.62,4255
A,99,3646.09,63.31,4950
A,100,2631.58,2828.43,1495
A,101,396.8,2993.91,5901
A,102,4008.83,3223.49,2100
A,103,2421.4,3453.88,1503
A,104,770.81,985.59,1010
A,105,1134.4,1683.97,1764
A,106,2420.9,301.52,773
A,107,3543.41,156.21,1355
A,108,307.54,4851.15,27
A,109,2062.2,274.83,147
A,110,395.91,3079.1,3006
A,111,2855.22,2853.45,1090
A,112,3893.11,3245.3,256
