Feature,Instance,LocX,LocY,Checkin
A,1,62594.149,47498.268,643
A,2,56998.204,29284.19,1510
A,3,63104.426,34737.547,647
A,4,55577.53,33909.211,248
A,5,59799.113,33407.807,1842
A,6,63364.099,63835.272,344
A,7,59236.125,41087.112,253
A,8,66546.743,35575.317,468
A,9,67151.137,33657.735,204
A,10,41515.266,28268.52,1228
A,11,51367.733,36890.344,54
A,12,28895.001,68358.171,1771
A,13,58910.387,38634.035,206
A,14,38211.716,41393.017,1182
A,15,45611.773,73250.293,2066
A,16,44977.1,43952.058,221
A,17,75466.96,57317.184,753
A,18,64354.61,32719.381,1999
A,19,59304.851,48776.798,40
A,20,55919.041,31381.6,1573
A,21,64046.068,32966.424,376
A,22,52159.06,30123.82,429
A,23,75478.427,55183.042,1836
A,24,68239.728,61515.389,1144
A,25,45254.119,37084.316,3148
A,26,57525.814,29668.649,1734
A,27,51140.427,36695.77,754
A,28,54792.792,33572.02,749
A,29,59952.006,48784.661,820
A,30,58420.248,41488.322,1812
A,31,53698.72,37107.349,120
A,32,54379.551,27449.205,915
A,33,58934.065,49576.978,297
A,34,60701.712,43472.005,228
A,35,71536.652,46154.195,2373
A,36,79596.441,42005.017,1140
A,37,51101.273,36833.62,719
A,38,25891.338,71520.936,2850
A,39,61803.881,30956.757,163
A,40,76390.463,43197.709,872
A,41,71810.879,34966.369,117
A,42,55991.461,65993.727,3123
A,43,61420.51,34554.979,2941
A,44,56404.202,39928.658,169
A,45,62615.245,38199.78,621
A,46,71584.471,42296.644,1298
A,47,62115.463,48536.393,375
A,48,59555.743,29388.06,1010
A,49,69062.891,36496.218,195
A,50,57236.789,66298.485,158
A,51,49436.529,89588.499,334
A,52,66362.872,36046.771,203
A,53,73928.95,39824.722,13
A,54,76429.879,44139.682,23
A,55,60518.41,40509.249,336
A,56,50919.297,36973.686,809
A,57,73925.785,42274.636,2392
A,58,63565.573,68068.126,278
A,59,48759.578,41570.773,802
A,60,62845.025,40899.611,316
A,61,61601.779,33503.668,72
A,62,57450.276,30237.936,98
A,63,56058.064,86208.763,6666
A,64,43139.584,46283.948,26
A,65,44260.361,61514.286,632
A,66,57838.969,74109.28,1840
A,67,50991.538,30630.536,2285
A,68,66332.656,34636.629,2083
A,69,45526.888,26472.638,21
A,70,40696.46,13764.731,1108
A,71,67606.904,35280.716,730
A,72,69248.513,38771.718,382
A,73,62365.762,44574.382,106
A,74,56370.639,33614.454,17
A,75,65715.297,42995.439,583
A,76,55926.822,63951.849,704
A,77,46197.656,35218.658,154
A,78,62961.674,30660.608,1754
A,79,62060.103,34224.661,377
A,80,59718.916,56730.132,1245
A,81,78898.861,43452.604,1284
A,82,59789.685,49686.294,2283
A,83,54115.816,31840.157,348
A,84,88458.217,64044.169,1009
A,85,56530.829,28779.312,328
A,86,75154.682,37350.594,1129
A,87,70743.796,37441.332,395
A,88,54930.17,26244.886,180
A,89,77572.486,47396.126,746
A,90,78207.762,47889.577,671
A,91,71397.679,38043.876,114
A,92,77518.143,39867.289,2339
A,93,61338.411,43495.417,1100
A,94,65775.951,36624.879,883
A,95,40173.06,21584.325,1114
A,96,58100.515,51921.197,1284
A,97,51845.01,26691.826,64
A,98,58560.676,51335.493,302
A,99,77618.098,42146.019,1115
A,100,75111.354,45314.32,226
A,101,60692.535,30712.743,260
A,102,60649.685,72022.908,714
A,103,55091.555,36601.646,252
A,104,36061.961,23789.937,5461
A,105,64634.491,39169.196,1676
A,106,72163.627,32863.68,822
A,107,59304.424,31208.199,1297
A,108,54039.522,31197.685,2
A,109,88768.15,47939.585,742
A,110,58584.267,30681.368,1465
A,111,66701.729,26956.389,787
A,112,47097.225,45171.458,1561
A,113,66258.443,40224.127,22
A,114,52239.641,26820.109,31
A,115,49837.803,43297.491,34
A,116,54364.663,32417.931,2920
A,117,70779.685,39707.721,855
A,118,60433.089,36621.048,1299
A,119,34781.319,21531.377,309
A,120,72533.886,51334.591,2595
A,121,60523.127,39273.288,86
A,122,63119.083,75921.757,802
A,123,61709.504,29605.532,986
A,124,62624.444,71785.956,992
A,125,65238.56,35616.337,796
A,126,49191.606,27337.216,39
A,127,74409.915,39413.521,431
A,128,65686.879,39043.698,532
A,129,53583.29,34957.993,663
A,130,59615.967,40290.195,279
A,131,79899.683,36237.057,1921
A,132,56814.999,85226.293,1008
A,133,60065.722,32498.601,1330
A,134,59285.018,38720.763,496
A,135,57730.918,39418.623,1992
A,136,62600.383,49160.465,1018
A,137,50879.444,40777.32,2346
A,138,55965.698,77036.53,1963
A,139,62850.193,61616.574,1460
A,140,74023.148,44117.206,303
A,141,90734.599,68604.613,442
A,142,61613.609,33148.702,771
A,143,67781.643,37429.938,3150
A,144,52676.513,31634.045,1056
A,145,37902.925,41718.692,385
A,146,63142.581,47827.997,1810
A,147,64752.671,33558.488,191
A,148,71448.586,38362.89,411
A,149,61766.521,38482.029,307
A,150,82249.826,52324.099,927
A,151,65590.838,37337.463,445
A,152,74582.294,46212.366,2973
A,153,65515.708,36864.995,827
A,154,41659.219,27935.227,369
A,155,76485.156,49392.495,239
A,156,70342.179,38571.753,2918
A,157,59097.061,50562.6,2513
A,158,67626.849,35181.736,1081
A,159,61388.026,54872.292,220
A,160,65016.032,29172.38,2076
A,161,71303.102,41584.027,1298
A,162,65309.556,48007.535,259
A,163,67809.951,31240.175,82
A,164,44747.149,28986.616,3305
A,165,38623.636,26253.395,365
A,166,64115.449,28255.032,594
A,167,43217.876,25197.495,571
A,168,37029.983,59670.713,1128
A,169,60378.754,44510.787,1802
A,170,39725.283,31155.139,734
A,171,47826.373,28635.838,1262
A,172,61829.987,39162.257,299
A,173,41656.524,28362.176,499
A,174,41759.922,26592.735,416
A,175,46851.459,38927.432,2960
A,176,62450.25,71356.156,557
A,177,71409.231,38889.743,296
A,178,57353.494,45236.969,1770
A,179,39719.433,53754.534,930
A,180,62548.45,33030.833,426
A,181,50833.622,10593.791,168
A,182,57672.205,67349.406,1429
A,183,58611.861,81475.352,93
A,184,62865.337,33385.844,223
A,185,51371.698,36850.326,1358
A,186,87984.284,48576.733,2489
A,187,42279.741,26262.661,1515
A,188,79430.236,41077.901,493
A,189,62598.33,44634.47,975
A,190,57969.694,33172.848,2042
A,191,61371.72,30561.327,575
A,192,76016.582,44229.73,240
A,193,65385.776,38681.325,1922
A,194,61227.93,95616.812,174
A,195,65462.241,36385.811,814
A,196,56007.818,34376.488,241
A,197,62511.469,51415.082,158
A,198,62493.468,41214.148,688
A,199,56722.66,28543.039,3688
A,200,55339.933,34740.164,624
A,201,52681.28,36982.741,1117
A,202,64409.313,36066.607,1444
A,203,62995.594,39609.176,17
A,204,43238.917,25056.927,948
A,205,58286.009,41254.878,1048
A,206,61905.862,38945.531,1417
A,207,65502.31,27214.981,61
A,208,63158.091,30870.017,348
A,209,76072.341,43893.842,429
A,210,51590.096,33567.275,2027
A,211,59020.429,53674.867,793
A,212,70450.273,38501.731,27
A,213,31509.699,77924.998,798
A,214,63607.248,66887.029,109
A,215,72003.319,46917.911,2725
A,216,78078.48,44120.926,154
A,217,58603.101,32812.336,6801
A,218,59861.047,28281.395,1790
A,219,33805.333,22622.572,1880
A,220,41196.47,28301.933,636
A,221,45311.013,34704.736,294
A,222,63503.271,27782.308,88
A,223,61497.392,69327.554,115
A,224,56923.43,44081.098,672
A,225,75200.525,44586.723,105
A,226,60488.749,44672.093,109
A,227,36020.929,22641.751,1050
A,228,75814.773,52158.327,739
A,229,71035.76,41825.234,1885
A,230,65777.313,39519.418,92
A,231,59517.864,96534.639,1896
A,232,56842.601,32712.008,1248
A,233,67679.277,61614.792,4227
A,234,62476.562,70966.407,760
A,235,65283.242,58259.491,1460
A,236,54357.325,34821.257,1559
A,237,66606.901,42505.195,570
A,238,60459.69,54286.956,605
A,239,58750.524,91351.313,1541
A,240,62818.457,39063.433,1891
A,241,76070.8,52432.891,65
A,242,60104.323,48955.177,13
A,243,63042.8,33829.811,356
A,244,64456.509,34228.214,2895
A,245,61645.743,42973.921,73
A,246,64400.643,28597.257,11
A,247,77939.931,41992.632,196
A,248,69158.677,36151.554,207
A,249,62378.481,48318.051,163
A,250,54180.72,33590.876,2951
A,251,64357.798,38495.605,48
A,252,42445.817,26384.25,209
A,253,76513.127,44068.502,695
A,254,66174.324,32699.523,68
A,255,55829.89,33410.781,2696
A,256,63959.59,27596.165,227
A,257,59786.244,33339.935,325
A,258,65569.83,62290.588,3550
A,259,59420.98,76535.305,671
A,260,60420.119,32381.767,109
A,261,33436.47,90103.557,613
A,262,62590.465,73543.39,992
A,263,75492.787,43569.047,909
A,264,43691.031,30410.424,2854
A,265,35871.453,105708.431,512
A,266,63931.514,41003.079,3618
A,267,67683.541,36503.869,872
A,268,72886.688,44695.526,1530
A,269,62632.38,39014.506,3431
A,270,74403.608,46174.51,1341
A,271,67523.118,30017.189,1370
A,272,57202.172,33227.3,454
A,273,63822.366,34227.044,1016
A,274,64138.721,28220.483,1096
A,275,62710.364,37352.766,3196
A,276,40543.831,29533.361,179
A,277,62912.945,28123.386,1188
A,278,28194.204,68234.355,2523
A,279,58084.907,42033.006,523
A,280,55596.724,32140.872,2619
A,281,54042.349,32864.215,958
A,282,56047.174,70252.966,83
A,283,61037.759,27785.415,62
A,284,65389.245,30336.704,177
A,285,63716.106,31307.713,844
A,286,38142.837,51344.704,2339
A,287,81958.125,53606.683,1170
A,288,63449.17,31641.73,1932
A,289,78438.546,39867.378,2
A,290,59027.067,51685.859,85
A,291,64061.635,31185.255,39
A,292,49829.346,94447.643,283
A,293,67372.568,24785.872,459
A,294,56818.613,32880.052,396
A,295,61530.87,35937.356,824
A,296,62848.216,39132.342,869
A,297,34943.896,18695.478,252
A,298,56871.022,33413.098,693
A,299,73100.997,42687.039,2215
A,300,77023.822,39826.125,696
A,301,61486.991,39296.71,1921
A,302,62103.831,30225.005,1175
A,303,62226.332,39346.796,153
A,304,94285.768,61078.617,583
A,305,61946.25,32917.263,222
A,306,62827.473,76099.669,137
A,307,60891.624,33936.409,1333
A,308,50424.795,42937.278,183
A,309,63050.894,75889.491,3453
A,310,43040.744,28329.977,95
A,311,60549.802,30692.684,940
A,312,60329.879,28760.712,2873
A,313,61908.721,37469.41,161
A,314,56419.564,31423.956,1485
A,315,61254.227,40293.681,1817
A,316,66591.326,36050.135,201
A,317,42098.717,22667.991,271
A,318,76211.759,40599.642,3199
A,319,62201.276,28968.183,325
A,320,72011.167,46442.536,2855
A,321,41657.089,58291.924,3
A,322,61782.581,40845.037,298
A,323,48089.819,94801.484,27
A,324,58768.714,31200.358,2188
A,325,63989.673,40731.879,157
A,326,59689.349,30962.125,1579
A,327,62834.357,32201.661,147
A,328,61737.804,40937.289,866
A,329,64929.533,39190.335,248
A,330,71859.133,39149.861,142
A,331,65889.553,43271.217,2122
A,332,48209.697,29253.273,1229
A,333,58377.451,31945.196,1640
A,334,73298.934,49173.741,1000
A,335,50071.954,30680.566,5688
A,336,66697.586,29784.269,3275
A,337,59668.655,33819.475,445
A,338,62179.323,32267.273,456
A,339,61871.063,41665.398,420
A,340,66574.499,38640.305,1634
A,341,58774.228,41724.016,2039
A,342,60638.933,40099.118,685
A,343,61365.75,35197.841,4877
A,344,55622.233,30938.357,712
A,345,62644.677,48266.829,704
A,346,49453.517,43389.754,414
A,347,76668.704,53397.407,970
A,348,66611.628,34663.348,578
A,349,65823.969,36557.062,326
A,350,56766.956,34799.238,463
A,351,71431.142,46822.105,1315
A,352,59730.541,39633.322,1082
A,353,65892.824,38400.156,456
A,354,67842.62,36827.416,263
A,355,62341.342,46545.146,1505
A,356,62960.763,45818.385,1790
A,357,29093.67,68022.584,455
A,358,47418.986,10622.37,667
A,359,61191.925,74173.009,2732
A,360,41887.162,28064.568,564
A,361,62751.603,44799.128,768
A,362,62538.856,33086.476,475
A,363,52715.81,30478.096,2047
A,364,93573.436,59170.78,212
A,365,59920.473,59975.739,129
A,366,69987.916,50491.141,539
A,367,55068.146,36474.889,1024
A,368,52765.328,28752.203,1452
A,369,62984.917,30765.301,478
A,370,65974.384,30697.64,119
A,371,71692.556,47859.995,1630
A,372,49275.929,43941.344,510
A,373,75258.185,44557.81,111
A,374,65088.273,36728.214,908
A,375,43713.72,45121.071,973
A,376,65863.168,40748.719,982
A,377,75864.874,50965.691,945
A,378,61039.737,30791.853,493
A,379,70666.414,40088.95,339
A,380,64503.326,55483.635,1749
A,381,62289.347,75995.087,256
A,382,52969.395,34781.095,128
A,383,56877.498,33513.247,153
A,384,62798.482,50517.225,569
A,385,68020.476,37416.617,1390
A,386,71293.342,39114.243,880
A,387,36261.663,21043.907,296
A,388,66491.774,35903.352,72
A,389,62056.287,40467.149,660
A,390,59902.785,32015.474,506
A,391,65580.797,36310.22,1028
A,392,59497.329,29089.405,3188
A,393,52788.795,31273.287,349
A,394,39465.75,41687.718,2170
A,395,62637.773,76344.317,106
A,396,63123.752,42558.233,1519
A,397,42084.744,32548.118,380
A,398,36363.259,23734.182,748
A,399,72303.093,40340.292,2836
A,400,61938.667,44895.847,1118
A,401,51829.212,38840.102,261
A,402,56342.53,39994.236,1732
A,403,58400.437,79754.593,2581
A,404,54431.92,31972.661,1498
A,405,63195.314,32681.435,1861
A,406,61597.839,73546.642,811
A,407,28959.012,69585.334,4159
A,408,56267.96,31348.221,1689
A,409,32808.467,53014.775,804
A,410,65935.746,61680.559,234
A,411,59806.743,51504.072,142
A,412,73513.843,47423.58,1045
A,413,59301.976,51834.279,283
A,414,62190.359,30752.983,574
A,415,42215.678,32697.273,1683
A,416,57423.036,30095.342,473
A,417,62780.259,69413.481,1712
A,418,62967.898,51957.372,3070
A,419,50436.079,97381.386,170
A,420,54458.04,34381.912,1133
A,421,74593.458,37030.377,380
A,422,64529.689,28639.624,3035
A,423,72317.555,47511.444,2371
A,424,61923.429,37045.869,393
A,425,55006.349,37125.258,702
A,426,61079.178,46309.041,246
A,427,69279.874,33604.53,336
A,428,67517.867,35209.536,10
A,429,81462.785,55242.806,160
A,430,58345.398,49602.55,317
A,431,74417.663,47863.593,618
A,432,71241.413,44480.671,330
A,433,42863.421,24215.683,470
A,434,58575.967,28899.865,48
A,435,80991.617,51628.802,1204
A,436,71829.278,45081.466,631
A,437,55958.42,31865.93,94
A,438,62565.639,37024.808,324
A,439,65288.698,39210.383,1631
A,440,35449.362,21177.725,1522
A,441,65017.299,35610.757,308
A,442,72035.597,52630.06,2318
A,443,54914.812,31841.338,230
A,444,74760.94,42519.307,578
A,445,62031.744,33808.571,1376
A,446,83323.349,57171.515,761
A,447,61871.317,94790.469,403
A,448,63944.373,27576.095,2070
A,449,51874.791,34494.012,1984
A,450,43859.923,27905.334,1833
A,451,71006.498,37951.578,1381
A,452,51662.192,39331.359,1772
A,453,52757.641,32084.95,1865
A,454,62024.735,39677.995,41
A,455,66260.774,32372.289,146
A,456,70985.177,55498.771,2191
A,457,41730.207,28680.956,105
A,458,51224.005,36804.729,1841
A,459,65446.195,44903.966,341
A,460,61925.265,37234.852,903
A,461,63658.291,64945.211,117
A,462,72967.011,44939.172,981
A,463,54876.223,31172.147,1992
A,464,63587.805,64336.697,164
A,465,76354.59,45115.28,1062
A,466,80154.759,42701.039,458
A,467,45560.07,46513.482,493
A,468,51619.408,38553.32,719
A,469,71280.169,49815.59,181
A,470,88264.088,64290.933,122
A,471,62690.899,32386.423,2593
A,472,61842.582,40745.01,313
A,473,74135.202,50880.756,178
A,474,60552.227,41822.015,959
A,475,62083.133,50722.357,180
A,476,49766.006,69420.096,54
A,477,59617.682,53275.217,267
A,478,61674.884,34784.135,587
A,479,65555.604,36709.358,57
A,480,60590.261,73031.328,2333
A,481,73065.708,42658.126,2354
A,482,29107.188,68333.669,428
A,483,80073.161,47015.543,229
A,484,65935.028,40538.652,1536
A,485,57221.938,49168.874,1346
A,486,61763.92,73656.815,478
A,487,57916.266,30195.647,1393
A,488,71210.763,41442.847,307
A,489,48058.481,40027.905,974
A,490,48796.532,40991.641,34
A,491,74418.015,34765.302,49
A,492,68904.646,36178.217,1176
A,493,64785.627,30206.317,296
A,494,63207.336,32669.195,2277
A,495,40056.307,32181.714,1365
A,496,62222.409,39410.158,1311
A,497,36854.793,58597.717,1615
A,498,62934.369,70956.416,1914
A,499,42435.138,26628.487,2320
A,500,62306.312,41565.394,1308
A,501,71781.111,44965.757,161
A,502,63618.26,55893.576,3874
A,503,51221.211,35740.688,855
A,504,32641.34,31763.542,659
A,505,80087.628,41530.389,163
A,506,40684.987,30140.56,283
A,507,45735.865,25469.921,269
A,508,56036.63,35226.253,764
A,509,44079.278,27652.277,945
A,510,62603.96,70667.93,1868
A,511,62308.506,73824.871,2772
A,512,64440.579,35284.871,260
A,513,36204.294,43193.889,834
A,514,62995.356,31433.479,621
A,515,71911.726,37093.494,3891
A,516,62717.907,43881.457,1052
A,517,48865.951,32094.596,151
A,518,69895.312,41153.704,386
A,519,76466.883,48958.953,1146
A,520,58279.787,42026.346,1195
A,521,62840.974,39112.339,304
A,522,53499.917,27950.831,333
A,523,75172.032,38965.668,343
A,524,67223.277,38278.021,2995
A,525,64329.668,63645.498,448
A,526,64052.619,33239.073,116
A,527,64072.4,65229.921,89
A,528,59383.251,32403.931,1067
A,529,58208.416,29439.192,435
A,530,79809.8,39828.609,484
A,531,64853.059,38959.141,762
A,532,64850.193,47596.491,780
A,533,73107.294,45019.285,332
A,534,71391.951,35150.952,1147
A,535,49267.821,43097.281,2051
A,536,59508.689,34396.837,222
A,537,46508.758,43276.051,2295
A,538,60252.688,48910.616,2241
A,539,62859.385,49066.876,3008
A,540,52444.849,36516.9,1775
A,541,49981.109,37502.745,839
A,542,49710.278,95854.755,1185
A,543,67547.847,31082.021,168
A,544,66989.78,35344.056,2134
A,545,62467.534,45581.299,834
A,546,62570.842,48720.285,744
A,547,60642.845,38266.282,753
A,548,62218.793,32760.368,2
A,549,82044.336,47810.856,1353
A,550,61105.743,39024.374,668
A,551,55553.746,33020.163,1114
A,552,75336.175,38301.009,3034
A,553,52596.245,36990.515,7
A,554,54350.265,100774.109,721
A,555,37104.086,24162.701,2393
A,556,61741.93,27579.225,1976
A,557,62735.282,48197.776,636
A,558,38234.069,29913.075,1638
A,559,51654.387,37061.573,1504
A,560,40881.529,27437.911,1932
A,561,55807.657,33779.068,1104
A,562,62598.193,44474.289,80
A,563,58185.109,29572.899,734
A,564,64416.98,29722.778,106
A,565,66966.928,63213.482,4537
A,566,60964.993,39881.3,229
A,567,49907.525,94791.605,407
A,568,76164.678,45052.954,820
A,569,59405.456,53076.477,268
A,570,61219.205,61276.721,3871
A,571,62169.507,30863.234,1120
A,572,39739.968,24801.13,247
A,573,67857.715,36004.66,722
A,574,55768.803,33185.991,489
A,575,67840.68,36540.579,1302
A,576,58784.894,32085.507,912
A,577,58484.716,57867.681,593
A,578,70996.959,47494.615,345
A,579,62156.421,38646.564,863
A,580,56134.244,87431.314,367
A,581,59298.118,30034.252,756
A,582,77417.592,46406.316,337
A,583,62246.495,44815.767,607
A,584,40117.916,27378.737,479
A,585,57427.113,52342.955,1024
A,586,60889.148,40122.485,1203
A,587,65859.239,27972.048,804
A,588,62868.115,75906.164,222
A,589,70451.613,37693.643,1065
A,590,55600.232,29055.614,2043
A,591,44284.207,28507.321,3
A,592,67255.475,27101.4,813
A,593,36679.538,22097.278,306
A,594,62055.62,42419.157,825
A,595,78931.56,38983.811,60
A,596,41396.903,28833.619,48
A,597,61302.047,33748.428,58
A,598,69998.679,41141.486,402
A,599,55727.447,63730.701,1274
A,600,61178.32,41083.971,664
A,601,66355.063,36234.685,3475
A,602,75683.979,50770.494,955
A,603,63205.511,49639.805,605
A,604,62363.136,40882.893,409
A,605,62161.732,32415.314,1306
A,606,62154.756,45456.636,384
A,607,56932.091,31351.629,623
A,608,64328.151,29285.984,270
A,609,71172.092,38934.171,164
A,610,48253.351,94942.219,1719
A,611,65690.508,43049.924,3736
A,612,62375.558,34664.072,418
A,613,65428.158,37377.469,1317
A,614,65949.037,36571.53,185
A,615,34177.599,22408.363,240
A,616,55996.08,31653.28,839
A,617,61938.037,32439.783,465
A,618,48260.92,95278.363,160
A,619,34989.707,23668.214,352
A,620,75370.648,57398.755,324
A,621,79505.143,39620.736,719
A,622,56055.713,32639.58,1495
A,623,62053.894,50124.647,48
A,624,62343.717,29646.819,1783
A,625,50970.408,34362.667,1114
A,626,28877.43,35730.787,237
A,627,66307.178,61939.82,124
A,628,61164.89,27236.878,138
A,629,62588.546,38618.821,517
A,630,66282.966,40572.032,913
A,631,63337.263,46942.692,641
A,632,57894.57,30441.821,130
A,633,63018.683,50873.015,322
A,634,47777.158,29146.263,97
A,635,63288.783,31286.518,600
A,636,64520.472,32500.138,3687
A,637,62896.327,48859.606,740
A,638,29163.362,68552.177,1274
A,639,59481.358,47606.002,645
A,640,76855.136,53545.916,235
A,641,45059.745,24981.247,756
A,642,72077.842,46916.808,1923
A,643,83054.634,53517.47,908
A,644,88332.005,64946.347,526
A,645,55329.039,77214.397,1609
A,646,62788.724,75245.504,478
A,647,46587.765,36730.92,208
A,648,59767.414,29487.251,389
A,649,39817.072,29585.663,851
A,650,40802.024,41711.196,3333
A,651,55505.373,45123.31,577
A,652,71166.815,37986.049,380
A,653,63330.424,64915.039,1072
A,654,40245.432,25882.123,872
A,655,54864.29,37065.215,984
A,656,77317.576,43424.648,90
A,657,63544.641,31969.064,1511
A,658,67114.485,37834.5,176
A,659,55257.253,31024.072,2762
A,660,68734.483,48827.841,662
A,661,52197.734,34964.531,52
A,662,51661.806,37221.654,209
A,663,74499.82,46323.664,516
A,664,65463.521,64476.452,227
A,665,65224.229,33847.809,1603
A,666,61822.059,28894.597,404
A,667,61550.887,35910.67,1056
A,668,57245.977,49232.403,1212
A,669,62157.841,40856.196,842
A,670,51364.015,33858.757,250
A,671,58942.288,40259.01,1208
A,672,61852.953,44998.19,509
A,673,79001.083,41829.31,321
A,674,62653.422,41518.739,1236
A,675,71744.705,40433.614,869
A,676,25510.99,76392.053,1588
A,677,64621.958,51847.054,1151
A,678,52311.479,31750.912,302
A,679,66619.526,41700.304,231
A,680,67781.011,36917.453,783
A,681,81020.344,40061.017,1177
A,682,71138.093,36108.373,1690
A,683,44129.286,43860.774,1753
A,684,65231.904,38712.432,1613
A,685,79446.021,35951.255,581
A,686,56103.519,31245.766,833
A,687,55594.96,30980.68,896
A,688,63633.728,62322.809,775
A,689,66396.287,36538.218,472
A,690,61228.07,38165.186,445
A,691,71171.23,40642.522,966
A,692,60581.072,30755.055,2616
A,693,52987.895,99164.648,892
A,694,74947.322,44549.991,49
A,695,67262.886,61815.881,1177
A,696,63492.633,72836.832,431
A,697,24987.355,63432.993,1695
A,698,61918.15,37316,3912
A,699,67726.384,25167.435,1260
A,700,62192.206,50687.797,60
A,701,78363.627,46393.051,811
A,702,51758.388,28784.435,261
A,703,35019.668,26958.995,599
A,704,34592.872,27205.392,597
A,705,62359.294,37439.438,1069
A,706,64260.875,29133.309,522
A,707,82570.647,45754.578,25
A,708,76793.393,43173.284,227
A,709,59247.788,32583.124,1362
A,710,61683.796,34890.912,366
A,711,68386.476,35788.992,462
A,712,63307.726,50333.276,240
A,713,65503.061,35578.558,3527
A,714,56423.608,40042.027,380
A,715,54940.807,43514.83,2635
A,716,59192.449,51515.176,160
A,717,66851.753,26813.66,46
A,718,72918.917,44916.908,254
A,719,62338.848,46330.302,381
A,720,75270.582,49501.61,391
A,721,48534.825,92625.198,212
A,722,36387.089,17359.702,786
A,723,60816.566,63476.519,184
A,724,63113.709,44455.422,512
A,725,36029.699,33189.711,481
A,726,59799.914,33406.705,135
A,727,40593.248,24429.691,735
A,728,47463.359,38560.705,1443
A,729,59395.947,30067.676,523
A,730,79368.233,46769.413,184
A,731,45594.718,32746.568,1286
A,732,78472.239,42331.761,1117
A,733,62436.113,76637.893,3677
A,734,63006.28,35255.824,3205
A,735,61004.249,41640.862,357
A,736,61831.001,40483.8,890
A,737,49630.186,37935.117,697
A,738,30048.901,68871.069,82
A,739,44548.505,41899.422,418
A,740,69189.398,54048.789,458
A,741,57125.253,40498.925,298
A,742,61692.255,39875.81,1209
A,743,81363.593,43638.546,3780
A,744,60685.594,59548.868,2246
A,745,61836.05,44914.747,1656
A,746,60146.765,75955.96,781
A,747,77307.125,43390.178,382
A,748,56126.116,29909.177,1068
A,749,61959.134,37389.375,140
A,750,78946.311,43634.982,519
A,751,62400.402,45956.324,144
A,752,71589.508,37664.841,758
A,753,61109.826,39077.723,1380
A,754,70446.294,38522.859,131
A,755,63887.146,67905.35,505
A,756,65577.463,36889.453,1814
A,757,62993.809,71259.325,1662
A,758,66472.411,36514.873,344
A,759,62405.76,47917.031,589
A,760,53776.874,42187.117,1582
A,761,73048.038,45069.348,1475
A,762,60059.308,32500.828,990
A,763,44019.607,19901.056,961
A,764,60155.239,39986.807,1811
