Feature,Instance,LocX,LocY,Checkin
A,1,774822.45,632293.14,272
A,1,774822.45,632293.14,272
A,2,935323.0,796601.47,2881
A,2,935323.0,796601.47,2881
A,3,909176.38,771229.61,4329
A,3,909176.38,771229.61,4329
A,4,835161.49,801107.65,224
A,4,835161.49,801107.65,224
A,5,860620.92,831621.78,5238
A,5,860620.92,831621.78,5238
A,6,1092711.7,975427.17,897
A,6,1092711.7,975427.17,897
A,7,808128.32,761324.07,3672
A,7,808128.32,761324.07,3672
A,8,1258559.4,995420.16,1676
A,8,1258559.4,995420.16,1676
A,9,789947.31,974693.55,35
A,9,789947.31,974693.55,35
A,10,628887.66,806793.11,3337
A,10,628887.66,806793.11,3337
A,11,856103.51,782313.51,1983
A,11,856103.51,782313.51,1983
A,12,692195.97,812815.2,2348
A,12,692195.97,812815.2,2348
A,13,832011.78,785634.66,4028
A,13,832011.78,785634.66,4028
A,14,747084.27,975281.46,1106
A,14,747084.27,975281.46,1106
A,15,766757.72,767426.03,7054
A,15,766757.72,767426.03,7054
A,16,856750.6,779931.09,524
A,16,856750.6,779931.09,524
A,17,1236845.54,1024151.27,98
A,17,1236845.54,1024151.27,98
A,18,799727.23,991615.89,3563
A,18,799727.23,991615.89,3563
A,19,881107.41,671872.09,766
A,19,881107.41,671872.09,766
A,20,747921.82,1053529.37,1785
A,20,747921.82,1053529.37,1785
A,21,1092546.86,976773.81,1452
A,21,1092546.86,976773.81,1452
A,22,913740.56,679973.38,1252
A,22,913740.56,679973.38,1252
A,23,1051995.99,999097.59,3184
A,23,1051995.99,999097.59,3184
A,24,1159367.98,1041448.04,1174
A,24,1159367.98,1041448.04,1174
A,25,816878.01,789555.91,60
A,25,816878.01,789555.91,60
A,26,866576.19,885736.17,781
A,26,866576.19,885736.17,781
A,27,896185.49,882102.83,1180
A,27,896185.49,882102.83,1180
A,28,905982.12,1040339.74,5028
A,28,905982.12,1040339.74,5028
A,29,775548.62,974541.76,12
A,29,775548.62,974541.76,12
A,30,932354.83,669771.64,681
A,30,932354.83,669771.64,681
A,31,757962.36,793233.12,1143
A,31,757962.36,793233.12,1143
A,32,1195742.25,899727.47,868
A,32,1195742.25,899727.47,868
A,33,1063429.84,980840.75,1370
A,33,1063429.84,980840.75,1370
A,34,868018.51,879218.33,1017
A,34,868018.51,879218.33,1017
A,35,1225844.94,1026024.07,3046
A,35,1225844.94,1026024.07,3046
A,36,1063454.35,918009.09,4792
A,36,1063454.35,918009.09,4792
A,37,1295952.76,884947.43,152
A,37,1295952.76,884947.43,152
A,38,1057265.18,754538.54,3252
A,38,1057265.18,754538.54,3252
A,39,1263888.74,862359.68,2146
A,39,1263888.74,862359.68,2146
A,40,1181616.44,945004.87,2467
A,40,1181616.44,945004.87,2467
