Feature,Instance,X,Y,Checkin
A,1,40169.12,40153.02,874
A,2,34396.73,36353.13,697
A,3,41647.79,18924.22,661
A,4,44044.45,12604.13,514
A,5,31859.73,50190.23,670
A,6,25506.88,40329.81,549
A,7,35380.91,24083.77,705
A,8,25666.53,49491.3,591
A,9,28862.47,9902.75,613
A,10,17422.72,51738.84,547
A,11,41336.32,32675.9,585
A,12,28757.69,32591.15,680
A,13,27462.66,19017.46,587
A,14,36478.76,4862.35,609
A,15,36965.32,35850.91,639
A,16,32537.65,34759.69,532
A,17,60608.56,11612.35,699
A,18,38664.88,41612.87,599
A,19,27205.54,10952.18,610
A,20,10239.43,8813.22,579
A,21,21771.95,54032.17,924
A,22,31592.94,5504.01,616
A,23,32864.02,59543.81,734
A,24,24714.05,19630.69,486
A,25,32142.12,33904.39,525
A,26,13555.4,32331.69,590
A,27,6299.14,12155.34,505
A,28,55415.79,5408.6,498
A,29,38543.03,51326.53,614
A,30,29132.33,49314.62,503
A,31,48589.56,5589.18,762
A,32,35826.21,50679.07,616
A,33,40262.74,15064.49,656
A,34,34704.6,6605.89,533
A,35,28091.99,46694.22,538
A,36,22991.28,56580.13,610
A,37,14475.5,11055.08,604
A,38,29159.18,30155.81,792
A,39,13063.92,32136.9,594
A,40,45613.36,15012.56,504
A,41,31155.37,51090.09,599
A,42,13225.14,16936.06,547
A,43,16041.13,19131.48,679
A,44,48829.79,23173.33,543
A,45,65670.31,4213.26,666
A,46,39553.2,5668.39,597
A,47,14154.5,41374.82,491
A,48,44522.24,13406.31,559
A,49,25363.57,19864.34,540
A,50,32705.18,48078.41,582
A,51,44311.05,34022.78,484
A,52,52995.5,19665.93,563
A,53,23510.75,55568.13,583
A,54,21104.8,2753.87,812
A,55,12275.25,52597.5,589
A,56,65925.82,1942.82,546
A,57,33788.38,13848.54,540
A,58,33076.66,58281.43,651
A,59,20716.54,46781.05,612
A,60,36701.65,50520.74,541
A,61,36835.19,40601.39,561
A,62,48086.67,12916.35,822
A,63,11136.12,16062.53,502
A,64,13640.74,17110.58,512
A,65,36887.26,54729.23,494
A,66,11750.6,50387.35,491
A,67,58560.41,11210.71,550
A,68,56909.46,12856.69,650
A,69,14736.6,55983.71,617
A,70,33616.74,9474.21,693
A,71,49233.2,5263.85,587
A,72,52902.08,11395.85,764
A,73,27144.25,25458.11,579
A,74,39249.31,6030.38,665
A,75,34742.48,24845.0,799
A,76,14465.3,15352.63,657
A,77,13252.71,39321.0,702
A,78,32528.07,59436.26,603
A,79,13362.59,50392.1,512
A,80,31086.56,32957.77,651
A,81,40354.49,42030.49,481
A,82,44909.5,15293.81,438
A,83,37967.14,47926.83,571
A,84,38300.67,35378.49,454
A,85,44210.47,17569.3,525
A,86,25583.04,21988.83,553
A,87,41190.29,34209.86,701
A,88,33310.01,54486.5,784
A,89,41136.2,32724.88,610
A,90,14150.8,50607.31,590
A,91,41372.89,29949.3,670
A,92,42380.7,24592.51,575
A,93,4980.76,22123.93,609
A,94,31587.59,7425.06,476
A,95,32832.81,54628.78,611
A,96,52127.74,18367.07,656
A,97,16922.06,4640.93,507
A,98,34995.03,48470.21,546
A,99,28835.43,24188.45,562
A,100,44759.91,32234.06,393
A,101,24535.5,50945.29,626
A,102,58102.71,7606.63,746
A,103,24763.16,52992.64,667
A,104,54083.32,9133.51,592
A,105,34107.44,39650.56,625
A,106,22187.48,56351.07,704
A,107,26715.4,47022.6,455
A,108,54054.29,14303.47,570
A,109,57488.87,11297.09,583
A,110,12869.23,20071.96,497
A,111,13037.19,15121.49,490
A,112,37481.86,13325.75,631
A,113,43729.19,29433.87,612
A,114,23709.7,34584.22,661
A,115,46937.07,12745.58,531
A,116,51749.46,1569.14,773
A,117,47634.61,375.15,531
A,118,33208.94,56554.65,510
A,119,23040.59,7675.9,710
A,120,50195.84,15851.19,629
A,121,28144.59,27537.91,618
A,122,52150.24,2328.52,502
A,123,25723.56,58819.08,589
A,124,52917.99,12508.4,709
A,125,55903.85,13561.32,694
A,126,26013.51,33712.21,865
A,127,31890.8,36078.19,608
A,128,44175.23,14880.34,531
A,129,22728.73,55322.55,600
A,130,44937.96,26405.77,644
A,131,28807.05,46943.06,487
A,132,30686.18,12173.91,459
A,133,38418.83,19222.15,500
A,134,47021.19,20351.29,598
A,135,43444.29,3641.19,433
A,136,32962.48,34778.93,558
A,137,34534.94,19760.69,678
A,138,45358.9,2432.4,478
A,139,7950.48,13618.68,639
A,140,30876.57,53885.72,758
A,141,5960.39,11972.08,609
A,142,32983.81,43087.12,671
A,143,51041.13,1593.01,685
A,144,16030.58,57207.45,640
A,145,11059.71,29195.02,704
A,146,31532.34,49166.16,540
A,147,38363.32,3452.58,602
A,148,41060.27,18006.68,689
A,149,42913.12,35051.47,370
A,150,46683.07,4932.62,624
A,151,15114.5,49468.1,504
A,152,54451.63,10745.1,600
A,153,54288.21,10189.27,589
A,154,39344.26,32038.69,580
A,155,50090.19,20704.02,434
A,156,56323.73,7112.96,634
A,157,16738.02,44694.63,519
A,158,46491.25,3348.16,485
A,159,36909.84,45014.04,574
A,160,52039.65,12606.03,599
A,161,57599.17,10659.93,592
A,162,20962.33,12599.01,648
A,163,37981.21,6274.24,745
A,164,41266.35,28125.64,611
A,165,15329.52,15863.38,545
A,166,37634.73,51151.59,673
A,167,60881.38,8662.19,580
A,168,35962.0,35330.84,499
A,169,66294.98,2934.17,608
A,170,20651.59,7005.77,798
A,171,14763.34,13017.53,647
A,172,69420.59,1514.0,513
A,173,40748.38,39695.86,615
A,174,35215.15,14884.66,565
A,175,25152.49,22653.81,671
A,176,17282.01,5348.81,738
A,177,31608.47,53968.47,646
A,178,51392.11,5360.86,572
A,179,53951.2,16010.33,518
A,180,12841.93,16680.95,735
A,181,27211.12,27237.59,651
A,182,35359.07,53981.81,533
A,183,44110.03,28567.06,649
A,184,38199.47,12711.98,547
A,185,12599.46,18017.85,679
A,186,38606.62,39073.94,583
A,187,30049.64,47817.65,701
A,188,42821.96,6161.3,343
A,189,49119.61,4309.44,457
A,190,39647.65,34515.65,488
A,191,59398.49,12078.8,643
A,192,39356.58,41653.81,820
A,193,49639.58,11020.32,768
A,194,21249.02,1426.77,519
A,195,43949.86,15662.92,708
A,196,51544.97,5127.87,877
A,197,19568.74,7086.31,373
A,198,33147.3,38317.44,634
A,199,45724.15,14608.8,552
A,200,53583.88,16921.22,446
A,201,53668.11,14455.23,722
A,202,49140.09,22359.44,552
A,203,22445.55,54039.0,566
A,204,46142.56,15396.16,520
A,205,21708.18,54839.13,668
A,206,43468.98,29553.61,507
A,207,37528.96,19119.07,598
A,208,15298.07,23518.61,431
A,209,31435.5,52690.57,411
A,210,51028.1,17180.15,543
A,211,48988.57,20850.5,612
A,212,21703.65,54345.91,506
A,213,42172.88,14297.35,559
A,214,30801.93,24217.4,772
A,215,38516.98,2391.75,469
A,216,12548.31,16624.87,585
A,217,31802.83,12382.92,586
A,218,31997.99,59405.08,631
A,219,33780.18,58164.24,547
A,220,47430.46,17626.92,545
A,221,52736.87,18526.16,739
A,222,13737.54,23201.77,589
A,223,25191.49,53935.87,590
A,224,15180.77,12659.05,647
A,225,15320.59,41749.52,733
A,226,42729.46,3050.46,462
A,227,42819.23,19800.59,792
A,228,11567.95,56734.88,756
A,229,33966.28,52866.03,519
A,230,34893.82,53697.23,717
A,231,13288.4,30738.91,568
A,232,33475.33,58009.73,629
A,233,41205.41,17375.87,730
A,234,52315.17,5231.54,535
A,235,53684.49,554.75,621
A,236,62165.22,10216.21,506
A,237,18262.35,15178.12,557
A,238,23669.01,31683.39,725
A,239,34196.49,7034.43,607
A,240,23638.23,1879.87,624
A,241,46101.74,17647.79,590
A,242,36557.74,8320.54,708
A,243,33176.68,14145.08,516
A,244,38519.93,22286.97,513
A,245,55496.61,13788.63,523
A,246,33583.38,13939.47,589
A,247,25421.86,20739.34,543
A,248,26052.95,33877.78,560
A,249,44058.01,21023.85,637
A,250,36608.97,15928.71,626
A,251,5754.52,12495.57,732
A,252,25502.64,47881.79,588
A,253,24424.78,53775.91,567
A,254,25807.7,22754.34,578
A,255,50469.28,16081.37,773
A,256,35105.69,35055.38,514
A,257,26651.04,51554.33,678
A,258,46264.25,20916.96,616
A,259,43357.98,8817.02,624
A,260,41891.6,3332.55,553
A,261,39550.69,28420.1,637
A,262,42115.83,22208.25,417
A,263,24636.43,54276.29,601
A,264,16160.75,53482.56,431
A,265,55547.28,9882.79,766
A,266,46239.92,5880.94,492
A,267,12565.41,16402.0,567
A,268,28705.01,27014.84,563
A,269,13332.3,16517.77,731
A,270,69069.0,1459.24,423
A,271,36352.91,38524.04,548
A,272,14941.67,55782.59,731
A,273,43386.98,9217.96,722
A,274,54071.52,14178.2,600
A,275,54388.32,15410.42,558
A,276,7818.51,20702.18,615
A,277,58170.86,9776.32,468
A,278,22751.72,8538.53,798
A,279,37832.33,41642.45,548
A,280,20098.8,49636.76,525
A,281,35643.98,24191.88,669
A,282,52507.5,12549.48,544
A,283,37355.78,44435.27,535
A,284,42657.73,32020.2,619
A,285,17465.98,13097.77,629
A,286,13205.12,51573.81,622
A,287,41807.36,7760.64,606
A,288,13800.33,15600.46,590
A,289,32598.7,42691.85,759
A,290,17789.47,46044.92,568
A,291,49662.57,2179.1,751
A,292,36612.76,40417.57,495
A,293,36302.14,7284.56,490
A,294,50933.31,15425.48,571
A,295,25173.94,53478.51,619
A,296,19355.75,52432.63,497
A,297,26006.1,21361.48,619
A,298,35339.71,36319.17,719
A,299,49050.09,15470.03,482
A,300,30922.56,51698.85,567
A,301,23962.34,50660.35,686
A,302,39832.13,14847.22,435
A,303,46957.31,15740.91,805
A,304,30988.18,49830.6,632
A,305,15082.7,32098.87,374
A,306,39123.43,6377.46,520
A,307,41626.11,5185.03,655
A,308,25655.47,23372.9,620
A,309,35946.3,14404.88,715
A,310,34633.26,18937.51,793
A,311,56252.36,14205.26,692
A,312,42914.0,23883.59,650
A,313,51825.83,3013.76,660
A,314,57343.61,10378.96,713
A,315,39482.32,23239.35,600
A,316,51750.83,10360.12,531
A,317,35258.32,53900.19,501
