Feature,Instance,X,Y,Checkin
A,1,2019.48,2001.76,1159
A,2,2029.47,1994.59,878
A,3,2021.99,1996.49,64
A,4,2029.09,1992.63,383
A,5,2020.4,2001.39,564
A,6,3658.3,209.57,2415
A,7,3649.7,216.69,1422
A,8,3659.41,217.88,2623
A,9,3660.43,213.25,1487
A,10,3653.66,204.0,307
A,11,3478.96,1420.97,198
A,12,3486.87,1430.29,346
A,13,3488.56,1430.51,149
A,14,3487.98,1428.16,1432
A,15,3475.3,1422.07,565
A,16,3121.16,4171.78,2180
A,17,3128.37,4168.94,915
A,18,3121.79,4167.08,622
A,19,3119.99,4179.94,144
A,20,3129.17,4178.59,1659
A,21,511.82,3091.39,305
A,22,503.23,3084.89,73
A,23,505.2,3096.14,3062
A,24,498.85,3090.42,1685
A,25,505.89,3082.92,769
A,26,702.48,1396.15,29
A,27,696.5,1384.97,466
A,28,689.07,1385.04,1908
A,29,700.49,1390.61,550
A,30,703.01,1387.95,1777
A,31,4135.9,4591.28,1039
A,32,4136.33,4588.55,186
A,33,4146.6,4593.98,8171
A,34,4145.88,4586.19,1029
A,35,4147.74,4591.42,1050
A,36,2640.53,866.77,373
A,37,2631.86,859.76,422
A,38,2630.43,865.17,1542
A,39,2633.21,854.46,1327
A,40,2631.05,857.81,2447
A,41,1238.29,2760.03,139
A,42,1226.45,2757.76,422
A,43,1227.84,2761.26,600
A,44,1227.65,2764.85,13
A,45,1232.92,2751.38,399
A,46,2660.35,2611.21,1819
A,47,2670.68,2611.71,968
A,48,2660.69,2607.27,85
A,49,2665.92,2610.61,986
A,50,2664.46,2607.43,843
A,51,2493.64,352.1,713
A,52,2490.56,362.06,437
A,53,2498.79,348.9,941
A,54,2494.04,359.91,319
A,55,2500.99,358.98,1209
A,56,3585.72,3012.65,2339
A,57,3593.01,3005.6,1108
A,58,3580.21,3017.68,1117
A,59,3588.02,3011.88,204
A,60,3593.3,3005.66,2003
A,61,3303.84,4073.99,449
A,62,3301.03,4060.68,739
A,63,3296.13,4067.09,2088
A,64,3308.86,4065.69,148
A,65,3295.99,4070.24,23
A,66,3787.07,4038.14,600
A,67,3778.08,4028.79,1753
A,68,3787.47,4028.99,519
A,69,3777.93,4031.46,3824
A,70,3785.43,4031.88,351
A,71,3511.01,735.61,147
A,72,3522.41,724.21,672
A,73,3522.68,732.69,809
A,74,3523.04,724.7,1224
A,75,3518.28,725.61,1073
A,76,4003.1,1311.16,278
A,77,4010.98,1308.09,13
A,78,4004.03,1303.19,141
A,79,4011.66,1306.68,1688
A,80,4012.37,1306.16,1488
A,81,2414.77,859.48,1080
A,82,2405.97,861.68,688
A,83,2411.31,861.46,475
A,84,2410.44,861.33,635
A,85,2406.29,852.62,1029
A,86,1688.28,1541.64,1935
A,87,1685.25,1533.54,1032
A,88,1691.87,1538.78,174
A,89,1683.51,1536.72,3022
A,90,1679.84,1537.23,420
A,91,4682.45,1088.1,219
A,92,4693.07,1086.73,1200
A,93,4684.49,1084.19,1713
A,94,4695.13,1096.8,106
A,95,4691.72,1092.69,1463
A,96,3433.87,4967.5,1440
A,97,3425.75,4963.08,1180
A,98,3421.55,4968.66,383
A,99,3422.05,4965.82,657
A,100,3424.85,4968.81,2246
A,101,3552.69,4258.97,3105
A,102,3540.13,4259.78,1994
A,103,3545.94,4250.33,579
A,104,3547.9,4262.11,327
A,105,3542.14,4248.12,423
A,106,2465.19,117.05,266
A,107,2457.68,119.85,82
A,108,2458.97,112.11,160
A,109,2459.53,111.42,1367
