Feature,Instance,X,Y,Checkin
A,1,986.34,20.65,1361
A,2,990.88,22.23,442
A,3,3656.28,1761.84,1142
A,4,3658.1,1759.03,734
A,5,2180.66,2754.9,850
A,6,2191.53,2756.82,449
A,7,3257.31,2873.47,663
A,8,3258.73,2875.27,1547
A,9,776.14,1747.65,555
A,10,778.96,1740.7,4477
A,11,1165.47,36.7,157
A,12,1166.38,34.3,390
A,13,1308.71,200.86,201
A,14,1300.27,199.21,2199
A,15,1225.72,1458.04,94
A,16,1232.14,1449.8,1618
A,17,986.48,3249.97,929
A,18,982.58,3250.18,1192
A,19,1256.01,2069.73,5628
A,20,1254.35,2059.03,671
A,21,3088.99,1213.78,873
A,22,3098.84,1223.02,2131
A,23,764.66,4990.74,3130
A,24,768.05,4989.49,162
A,25,4330.39,929.17,937
A,26,4327.97,920.94,20
A,27,3614.5,4584.37,210
A,28,3613.5,4588.76,2936
A,29,416.33,856.26,658
A,30,413.03,858.13,1138
A,31,2652.91,1210.07,895
A,32,2664.35,1214.48,257
A,33,571.05,3659.88,1240
A,34,581.57,3662.7,185
A,35,4302.06,3364.57,225
A,36,4303.46,3366.56,433
A,37,2554.46,3430.29,432
A,38,2542.22,3426.62,1038
A,39,3091.91,3542.19,2824
A,40,3086.96,3544.42,489
A,41,2272.66,41.74,953
A,42,2274.06,54.24,476
A,43,493.82,4878.47,400
A,44,500.07,4875.46,543
A,45,2572.74,4761.03,1634
A,46,2567.7,4753.21,1376
A,47,1086.47,1420.35,1263
A,48,1087.41,1428.26,615
A,49,1273.79,4275.52,35
A,50,1280.36,4270.02,86
A,51,1709.28,2673.72,729
A,52,1719.92,2667.98,448
A,53,559.74,62.61,809
A,54,553.36,64.75,465
A,55,4560.8,3805.06,694
A,56,4566.59,3804.48,2494
A,57,4937.24,3420.21,795
A,58,4933.46,3432.33,1004
A,59,2059.39,4548.45,436
A,60,2056.06,4542.82,359
A,61,2821.2,158.0,33
A,62,2810.83,158.56,317
A,63,3793.35,2236.03,289
A,64,3796.2,2228.46,1599
A,65,2213.34,3170.71,202
A,66,2211.01,3158.4,769
A,67,4126.06,2529.8,1115
A,68,4121.73,2524.85,2287
A,69,3665.98,2505.26,751
A,70,3662.48,2510.59,2049
A,71,2682.3,706.85,1241
A,72,2678.31,715.67,84
A,73,1871.9,1320.83,689
A,74,1879.44,1313.88,2189
A,75,845.47,556.89,241
A,76,852.39,554.1,326
A,77,4736.0,3867.69,702
A,78,4740.28,3866.34,111
A,79,2709.1,1104.3,628
A,80,2699.68,1104.36,1547
A,81,2161.8,3615.78,679
A,82,2165.39,3616.51,337
A,83,647.7,2162.96,3561
A,84,642.31,2165.11,1007
A,85,2520.17,347.03,551
A,86,2512.95,350.23,6285
A,87,2203.4,1112.27,313
A,88,2206.53,1109.21,2070
A,89,1918.02,3544.66,398
A,90,1909.76,3536.98,497
A,91,2541.61,1428.91,748
A,92,2533.08,1426.53,464
A,93,4118.9,50.71,634
A,94,4113.79,45.82,482
A,95,3222.98,766.73,601
A,96,3228.47,763.47,250
A,97,3724.36,2131.34,937
A,98,3727.2,2125.22,743
A,99,1607.44,516.52,1429
A,100,1615.88,511.17,1124
A,101,911.82,2029.78,833
A,102,901.54,2025.92,74
A,103,3473.85,3514.69,60
A,104,3469.83,3526.0,1198
A,105,352.79,719.36,39
A,106,356.13,726.34,1412
A,107,2926.76,3522.35,17
A,108,2940.24,3522.84,54
A,109,1684.79,4782.02,473
A,110,1685.03,4768.01,318
A,111,1572.44,1433.43,1349
A,112,1578.24,1437.03,265
A,113,4683.91,3633.52,1393
A,114,4691.08,3622.28,124
A,115,4656.06,2342.28,844
A,116,4656.43,2348.66,221
A,117,4908.91,4137.97,1973
A,118,4901.49,4134.43,592
A,119,3142.44,4630.5,591
A,120,3138.49,4635.81,401
A,121,3794.94,4552.95,864
A,122,3792.93,4560.89,716
A,123,2822.32,3034.94,307
A,124,2822.64,3034.25,340
A,125,3090.23,387.69,2951
A,126,3091.74,381.57,2539
A,127,3887.72,156.97,1125
A,128,3878.65,156.18,3414
A,129,3111.48,1948.5,820
A,130,3108.88,1945.56,249
A,131,4830.34,4639.45,570
A,132,4828.91,4636.82,401
A,133,4132.53,4323.6,30
A,134,4126.56,4327.6,25
A,135,3097.66,4040.91,425
A,136,3102.03,4051.49,129
A,137,3041.01,2620.78,974
A,138,3031.52,2613.07,387
A,139,1977.44,2745.2,210
A,140,1978.64,2733.6,334
A,141,1729.66,3379.58,720
A,142,1739.76,3392.69,1779
A,143,4634.26,4819.23,3708
A,144,4637.0,4825.03,2681
A,145,3296.27,4351.21,358
A,146,3285.47,4350.27,431
A,147,758.57,809.67,1125
A,148,758.44,806.89,751
A,149,1702.75,2588.32,751
A,150,1693.52,2597.57,56
A,151,4084.13,2924.51,1654
A,152,4091.75,2936.1,859
A,153,561.16,4386.24,868
A,154,558.5,4382.2,231
A,155,3129.69,2864.38,537
A,156,3118.49,2878.53,63
A,157,368.28,257.5,28
A,158,362.66,258.96,58
A,159,1787.37,2472.62,230
A,160,1782.99,2476.89,624
A,161,4668.84,3077.33,595
A,162,4677.54,3080.1,1100
A,163,1885.23,333.36,762
A,164,1886.3,334.32,3415
A,165,2521.99,2296.33,580
A,166,2524.39,2304.19,2621
A,167,2581.81,881.26,1559
A,168,2583.92,889.19,1938
A,169,493.71,1682.48,614
A,170,495.94,1691.4,428
A,171,834.12,2571.84,702
A,172,828.37,2572.04,1771
A,173,605.92,3789.95,383
A,174,608.12,3789.44,1835
A,175,2875.64,1728.65,3123
A,176,2879.52,1717.69,2869
A,177,2148.15,1394.45,590
A,178,2159.77,1407.11,357
A,179,1208.6,389.62,1379
A,180,1198.58,386.78,94
A,181,2606.14,4462.65,1793
A,182,2608.34,4452.02,1371
A,183,362.02,992.64,381
A,184,372.81,990.75,2429
A,185,3296.8,1542.91,379
A,186,3284.99,1540.55,1584
A,187,1696.76,2381.48,1797
A,188,1696.72,2375.7,1394
A,189,472.37,982.21,519
A,190,478.61,972.64,927
A,191,3094.51,4391.96,2124
A,192,3099.16,4385.02,99
A,193,4435.93,196.9,143
A,194,4439.75,196.85,545
A,195,2919.78,3881.19,657
A,196,2920.97,3888.39,3104
A,197,1955.51,233.72,283
A,198,1950.14,224.64,291
A,199,2099.18,3916.72,89
A,200,2109.52,3921.04,947
A,201,2404.42,827.2,711
A,202,2403.22,834.65,276
A,203,1579.84,4281.13,2095
A,204,1589.25,4285.25,355
A,205,4921.91,1625.32,665
A,206,4932.65,1630.31,2808
A,207,2789.82,132.78,1178
A,208,2794.44,136.49,1084
A,209,4527.22,3595.18,360
A,210,4516.4,3596.53,475
A,211,3701.45,1674.41,936
A,212,3702.93,1671.18,216
A,213,984.96,515.11,443
A,214,982.84,507.76,22
A,215,711.37,4498.35,317
A,216,705.56,4500.36,553
A,217,2273.98,3790.5,2190
A,218,2272.96,3789.75,188
A,219,1667.99,4592.79,475
A,220,1672.91,4598.71,1974
A,221,2892.73,2943.5,587
A,222,2892.81,2947.36,435
A,223,2460.35,630.79,224
A,224,2452.53,625.38,364
A,225,3972.75,227.04,1078
A,226,3983.24,218.4,205
A,227,1119.62,30.95,34
A,228,1115.3,38.78,1791
A,229,3758.95,1257.24,335
A,230,3767.56,1251.43,56
A,231,490.49,1358.05,587
A,232,488.1,1357.02,1082
A,233,4842.66,1519.98,223
A,234,4837.46,1519.53,399
A,235,4790.47,3217.32,582
A,236,4791.14,3223.05,2200
A,237,3163.66,1463.37,1287
A,238,3171.05,1463.31,177
A,239,487.89,937.03,2872
A,240,493.51,945.1,1295
A,241,2754.83,3816.26,1061
A,242,2762.14,3817.26,508
A,243,3689.87,3392.45,246
A,244,3699.15,3399.04,796
A,245,224.71,777.4,731
A,246,233.35,777.71,118
A,247,2436.5,2125.58,632
A,248,2437.78,2117.86,460
A,249,4482.52,3513.63,106
A,250,4485.07,3515.06,3059
A,251,4781.72,4887.31,1001
A,252,4780.9,4892.18,596
A,253,4137.63,328.06,126
A,254,4138.7,328.96,531
A,255,2986.15,1410.62,2207
A,256,2975.61,1397.52,47
A,257,1045.01,2562.74,572
A,258,1046.2,2562.27,3952
A,259,3142.49,2045.67,2617
A,260,3149.72,2032.95,162
A,261,4550.38,3439.81,420
A,262,4555.8,3441.12,3129
A,263,4687.1,3916.17,1172
A,264,4692.62,3914.2,88
A,265,412.17,1713.96,2512
A,266,412.5,1718.5,38
A,267,3199.99,502.39,1230
A,268,3195.37,488.57,269
A,269,4059.07,2858.83,2031
A,270,4065.04,2847.71,41
A,271,3648.28,861.34,712
A,272,3637.57,860.64,244
A,273,2720.91,4725.2,1562
A,274,2718.27,4715.31,61
A,275,3222.41,137.33,121
A,276,3217.07,134.42,76
A,277,2589.26,3772.74,2428
A,278,2590.99,3771.92,121
A,279,4004.61,3035.18,193
A,280,3999.42,3035.31,932
A,281,2739.08,3836.21,423
A,282,2735.37,3844.87,59
A,283,4830.06,3368.82,530
A,284,4839.64,3364.63,51
A,285,2762.66,3885.04,907
A,286,2751.56,3890.02,696
A,287,3227.14,1234.82,2040
A,288,3218.86,1238.43,845
A,289,2270.68,2864.04,477
A,290,2272.19,2875.32,520
A,291,2426.68,862.3,703
A,292,2420.81,851.65,110
A,293,3.06,175.52,3067
A,294,6.11,167.21,1239
A,295,4629.09,2379.23,1272
A,296,4627.2,2376.25,631
A,297,712.22,3289.61,1614
A,298,716.62,3283.25,812
A,299,272.86,352.87,202
A,300,273.55,361.26,265
A,301,438.18,1501.7,602
A,302,432.51,1507.15,5109
A,303,2000.73,3548.87,768
A,304,2005.64,3550.62,1034
A,305,3480.5,4777.1,101
A,306,3476.13,4776.62,548
A,307,1196.92,2584.94,771
A,308,1199.12,2574.89,639
A,309,2971.98,687.6,1108
A,310,2978.51,692.79,2130
A,311,128.11,183.33,2960
A,312,129.6,183.57,50
A,313,254.25,19.92,775
A,314,245.53,18.36,1103
A,315,613.28,4417.26,1121
A,316,606.18,4424.93,428
A,317,1321.63,4861.63,467
A,318,1314.67,4853.33,561
A,319,4849.89,3910.28,533
A,320,4849.22,3903.65,1179
A,321,2625.78,968.55,326
A,322,2631.12,973.75,349
A,323,4982.26,1295.18,493
A,324,4982.99,1300.08,870
A,325,4093.18,1838.26,383
A,326,4102.42,1838.48,762
A,327,204.84,4020.36,265
A,328,207.62,4027.53,517
A,329,189.43,2781.11,2461
A,330,190.51,2787.33,116
A,331,2501.09,2424.92,242
A,332,2505.41,2430.06,457
A,333,1371.02,4101.74,2929
A,334,1367.24,4100.95,1756
A,335,2111.37,1870.4,528
A,336,2107.65,1869.42,1315
A,337,1317.94,2270.18,1952
A,338,1318.13,2264.43,3544
A,339,3947.02,342.53,582
A,340,3940.01,340.13,407
A,341,4860.73,2360.78,487
A,342,4860.25,2361.23,846
A,343,408.64,2263.43,1224
A,344,420.92,2269.04,577
A,345,838.41,600.03,22
A,346,847.55,600.5,658
A,347,4904.11,4553.48,51
A,348,4905.75,4557.91,197
A,349,2858.92,1627.1,2788
A,350,2866.66,1637.1,932
A,351,3214.48,131.77,314
A,352,3208.45,131.85,308
A,353,3434.0,893.85,2789
A,354,3427.98,898.72,297
A,355,4599.35,1527.44,1038
A,356,4600.28,1538.88,387
A,357,3423.02,1788.42,2684
A,358,3422.87,1793.89,120
A,359,2734.25,3736.07,3832
A,360,2725.37,3721.37,202
A,361,3151.17,1172.01,178
A,362,3146.54,1177.19,786
A,363,1554.37,3650.71,879
A,364,1548.72,3647.09,1216
A,365,3814.12,2944.46,921
A,366,3812.8,2940.69,335
A,367,2034.47,30.28,175
A,368,2027.74,39.25,154
A,369,2552.53,2053.47,1895
A,370,2557.35,2057.75,844
A,371,843.74,757.38,1589
A,372,854.07,756.47,621
A,373,3828.35,1172.22,143
A,374,3823.97,1164.38,117
A,375,251.46,200.4,714
A,376,262.27,205.86,515
A,377,2488.75,3694.53,199
A,378,2478.95,3706.03,1263
A,379,3824.05,2518.36,331
A,380,3818.07,2515.6,843
A,381,954.2,1281.96,457
A,382,952.21,1278.87,3363
A,383,983.98,3045.16,3070
A,384,994.51,3051.9,1463
A,385,3423.16,438.94,1528
A,386,3421.02,437.75,3461
A,387,4247.35,318.25,568
A,388,4238.54,322.57,827
A,389,4901.55,543.12,1355
A,390,4906.91,550.31,1370
A,391,37.34,3888.58,1704
A,392,28.99,3881.16,1050
A,393,2390.74,1473.56,720
A,394,2383.68,1467.45,2019
A,395,3324.04,3374.25,1198
A,396,3317.85,3381.98,1055
A,397,2233.32,392.45,32
A,398,2221.6,399.41,1647
A,399,2783.62,4494.54,236
A,400,2787.18,4497.09,421
A,401,2487.23,262.42,2103
A,402,2479.85,266.75,154
A,403,4027.08,80.08,3856
A,404,4028.99,84.74,2870
A,405,464.57,3969.19,687
A,406,470.82,3960.64,620
A,407,4515.24,3668.7,1463
A,408,4519.28,3666.76,149
A,409,3369.37,3652.14,388
A,410,3373.06,3646.19,99
A,411,1884.48,5001.46,59
A,412,1892.35,4995.34,1749
A,413,4599.63,2684.9,387
A,414,4598.77,2677.84,1258
A,415,126.79,3758.88,513
A,416,122.4,3750.05,3941
A,417,2307.45,1689.92,529
A,418,2310.23,1680.27,704
A,419,400.66,1997.54,2132
A,420,393.53,1988.62,2014
A,421,3198.48,4668.26,1836
A,422,3191.98,4677.84,492
A,423,2779.29,3238.16,885
A,424,2773.19,3246.71,1382
A,425,344.26,120.11,602
A,426,349.95,125.79,1675
A,427,560.61,2989.26,902
A,428,561.29,2995.97,265
A,429,1429.4,4542.57,453
A,430,1425.32,4545.34,525
A,431,2364.87,4587.88,2315
A,432,2374.92,4598.39,152
A,433,53.24,4097.53,1412
A,434,52.37,4096.29,224
A,435,4264.19,1420.26,1628
A,436,4257.94,1429.07,71
A,437,3969.51,1153.56,158
A,438,3964.33,1156.24,47
A,439,2795.85,3229.82,754
A,440,2795.9,3221.42,182
A,441,769.35,522.26,2512
A,442,770.87,522.32,1675
A,443,1936.84,3934.22,169
A,444,1935.19,3947.34,2227
A,445,3790.33,2979.99,726
A,446,3791.4,2987.12,233
A,447,383.19,1368.21,1825
A,448,382.88,1371.54,425
A,449,3601.83,1368.79,178
A,450,3597.83,1372.98,1366
A,451,3642.67,3946.76,445
A,452,3646.42,3939.48,1412
A,453,4246.77,4285.78,227
A,454,4252.48,4294.14,359
A,455,4058.17,4073.96,612
A,456,4048.36,4078.79,692
A,457,3999.58,2333.97,4944
A,458,4002.29,2335.02,477
A,459,3515.32,1668.02,614
A,460,3526.32,1666.54,1253
A,461,1852.13,2083.28,46
A,462,1851.74,2083.82,538
A,463,4872.52,3756.88,2131
A,464,4865.48,3748.18,47
A,465,2507.23,2534.09,4523
A,466,2501.4,2525.07,2528
A,467,664.29,2390.15,2680
A,468,661.68,2383.57,2391
A,469,2314.5,1350.45,537
A,470,2306.52,1360.32,275
A,471,4853.64,2057.65,756
A,472,4863.88,2054.71,1062
A,473,519.42,2201.41,40
A,474,522.8,2210.13,2770
A,475,1483.99,4003.37,525
A,476,1482.08,3998.68,844
A,477,1813.74,1320.6,668
A,478,1815.06,1311.82,391
A,479,1015.37,2061.1,1805
A,480,1026.11,2066.25,1319
A,481,836.71,1813.98,1291
A,482,839.49,1810.02,421
A,483,1221.54,4174.07,2571
A,484,1214.52,4165.44,703
A,485,1920.96,2860.79,111
A,486,1922.56,2856.18,2764
A,487,2409.28,1738.66,1146
A,488,2413.35,1742.51,792
A,489,2179.64,3940.4,941
A,490,2180.15,3950.56,54
A,491,3607.03,3476.36,476
A,492,3611.61,3467.34,664
A,493,3923.4,1025.33,1463
A,494,3926.82,1031.89,689
A,495,723.93,155.12,53
A,496,719.86,155.81,237
A,497,68.94,725.4,788
A,498,70.66,726.34,226
A,499,888.11,3582.88,2089
A,500,888.95,3582.94,617
A,501,1595.11,2227.04,537
A,502,1599.43,2236.5,280
A,503,2275.51,990.36,177
A,504,2277.79,1002.23,1248
A,505,4637.81,1042.49,362
A,506,4637.74,1043.54,960
A,507,3667.05,4781.37,419
A,508,3665.42,4780.24,171
A,509,4844.87,4073.73,1183
A,510,4852.85,4073.19,261
A,511,752.83,3372.01,502
A,512,754.99,3381.81,341
A,513,3515.27,752.17,3712
A,514,3511.3,754.74,1654
A,515,2452.36,3489.41,4124
A,516,2447.21,3482.54,49
A,517,4691.64,4227.43,1966
A,518,4695.14,4221.6,13
A,519,720.29,4691.31,270
